,state,date,price
618,California,2022-03-01,2389.1326020720944
619,Colorado,2022-03-01,1748.5894013703096
620,Connecticut,2022-03-01,1745.7005500857006
621,District of Columbia,2022-03-01,2056.9446047795154
622,Florida,2022-03-01,1841.5393973314492
623,Georgia,2022-03-01,1436.2956450269107
624,Hawaii,2022-03-01,2114.872072500793
625,Idaho,2022-03-01,1444.910765677299
626,Illinois,2022-03-01,1683.4869319168197
627,Indiana,2022-03-01,1338.0882481484857
628,Iowa,2022-03-01,1184.6582064197846
629,Kansas,2022-03-01,841.3618576827504
630,Kentucky,2022-03-01,1034.7800815694818
631,Louisiana,2022-03-01,1324.3431894736334
632,Maryland,2022-03-01,1671.4790686004617
633,Massachusetts,2022-03-01,1751.073235667769
634,Michigan,2022-03-01,1327.4838057487257
635,Minnesota,2022-03-01,1589.2488325022757
636,Mississippi,2022-03-01,1307.288609062914
637,Missouri,2022-03-01,1227.9361029007412
638,Nebraska,2022-03-01,1300.3289003012856
639,Nevada,2022-03-01,1519.0049567944973
640,New Mexico,2022-03-01,1286.2784986375339
641,New York,2022-03-01,1518.3421050707227
642,North Carolina,2022-03-01,1413.3544802170568
643,Ohio,2022-03-01,1095.2696901213976
644,Oklahoma,2022-03-01,1174.035629824337
645,Oregon,2022-03-01,1703.1099205929509
646,Pennsylvania,2022-03-01,1305.6867077785728
647,Rhode Island,2022-03-01,1664.8220035663235
648,South Carolina,2022-03-01,1393.9608965801215
649,Tennessee,2022-03-01,1460.9032706307385
650,Texas,2022-03-01,1473.1607008840535
651,United States,2022-03-01,1774.786259668495
652,Utah,2022-03-01,1435.2776484391372
653,Virginia,2022-03-01,1403.0513079276777
654,Washington,2022-03-01,1706.994641060264
655,Wisconsin,2022-03-01,1320.3351245029855
656,Alabama,2022-04-01,1135.9818418168159
657,Arizona,2022-04-01,1497.0199051536815
658,Arkansas,2022-04-01,966.4089161954078
659,California,2022-04-01,2390.9242894218974
660,Colorado,2022-04-01,1753.1619502012654
661,Connecticut,2022-04-01,1750.2846365779797
662,District of Columbia,2022-04-01,2058.556316744312
663,Florida,2022-04-01,1847.030624248208
664,Georgia,2022-04-01,1445.829324947429
665,Hawaii,2022-04-01,2113.6690337563978
666,Idaho,2022-04-01,1461.9209243197815
667,Illinois,2022-04-01,1692.9849007533242
668,Indiana,2022-04-01,1339.3636143678252
669,Iowa,2022-04-01,1187.2861105248974
670,Kansas,2022-04-01,850.577895485926
671,Kentucky,2022-04-01,1047.3291662214217
672,Louisiana,2022-04-01,1332.3490537330201
673,Maryland,2022-04-01,1673.0991447014378
674,Massachusetts,2022-04-01,1749.554442873766
675,Michigan,2022-04-01,1340.248988109325
676,Minnesota,2022-04-01,1594.4988645454202
677,Mississippi,2022-04-01,1311.4193033593128
678,Missouri,2022-04-01,1236.0196456356773
679,Nebraska,2022-04-01,1310.225765632937
680,Nevada,2022-04-01,1529.7744030208955
681,New Mexico,2022-04-01,1299.0362195760104
682,New York,2022-04-01,1533.5700195667491
683,North Carolina,2022-04-01,1427.833588274557
684,Ohio,2022-04-01,1099.8861678085975
685,Oklahoma,2022-04-01,1183.0046259117544
686,Oregon,2022-04-01,1708.9501287646015
687,Pennsylvania,2022-04-01,1303.3534249964769
688,Rhode Island,2022-04-01,1688.775322874561
689,South Carolina,2022-04-01,1409.259039591006
690,Tennessee,2022-04-01,1473.2417871091893
691,Texas,2022-04-01,1476.6224858990633
692,United States,2022-04-01,1780.7323945184219
693,Utah,2022-04-01,1431.6318329107914
694,Virginia,2022-04-01,1410.3702423152558
695,Washington,2022-04-01,1727.077951265784
696,Wisconsin,2022-04-01,1318.8557229001842
697,Alabama,2022-05-01,1150.3229614323084
698,Arizona,2022-05-01,1503.2727497421884
699,Arkansas,2022-05-01,972.2732315824351
700,California,2022-05-01,2385.670658061431
701,Colorado,2022-05-01,1755.8076190679171
702,Connecticut,2022-05-01,1777.2150330493591
703,District of Columbia,2022-05-01,2053.5952107166345
704,Florida,2022-05-01,1843.2454040266891
705,Georgia,2022-05-01,1448.1734569360394
706,Hawaii,2022-05-01,2111.9040048207344
707,Idaho,2022-05-01,1472.5699742832828
708,Illinois,2022-05-01,1691.7633109870928
709,Indiana,2022-05-01,1347.9062111762053
710,Iowa,2022-05-01,1188.0108386113268
711,Kansas,2022-05-01,860.8822863449687
712,Kentucky,2022-05-01,1038.5220070392133
713,Louisiana,2022-05-01,1328.2371613272223
714,Maryland,2022-05-01,1666.4188699491099
715,Massachusetts,2022-05-01,1753.0407525703533
