,city,date,price,state
471,Birmingham,2014-05-01,923.8922631,Alabama
472,Boise City,2014-05-01,901.4448042,Idaho
473,Boston,2014-05-01,2045.110601,Massachusetts
474,Boulder,2014-05-01,1620.247982,Colorado
475,Bradenton,2014-05-01,1647.43398,Florida
476,Buffalo,2014-05-01,896.0377147,New York
477,Charleston,2014-05-01,1220.904243,South Carolina
478,Charlotte,2014-05-01,1151.64892,North Carolina
479,Chattanooga,2014-05-01,958.1285216,Tennessee
480,Chicago,2014-05-01,1499.785552,Illinois
481,Cincinnati,2014-05-01,1011.053884,Ohio
482,Cleveland,2014-05-01,980.8076512,Ohio
483,Colorado Springs,2014-05-01,1079.719636,Colorado
484,Columbia,2014-05-01,979.6763513,South Carolina
485,Columbus,2014-05-01,1036.080733,Ohio
486,Dallas,2014-05-01,1231.597699,Texas
487,Dayton,2014-05-01,845.6690495,Ohio
488,Daytona Beach,2014-05-01,1041.387065,Florida
489,Denver,2014-05-01,1303.923299,Colorado
490,Des Moines,2014-05-01,1021.000142,Iowa
491,Detroit,2014-05-01,1061.571433,Michigan
492,Durham,2014-05-01,1160.752144,North Carolina
493,El Paso,2014-05-01,1046.06423,Texas
494,Fort Collins,2014-05-01,1245.589016,Colorado
495,Fort Lauderdale,2014-05-01,1578.534288,Florida
496,Fort Myers,2014-05-01,1339.684184,Florida
497,Fort Worth,2014-05-01,1231.597699,Texas
498,Fresno,2014-05-01,1141.493332,California
499,Gainesville,2014-05-01,969.5244012,Georgia
500,Grand Rapids,2014-05-01,884.4218387,Michigan
501,Greeley,2014-05-01,1192.49266,Colorado
502,Greensboro,2014-05-01,993.7039026,North Carolina
503,Greenville,2014-05-01,1050.63197,South Carolina
504,Harrisburg,2014-05-01,976.4171412,Pennsylvania
505,Hartford,2014-05-01,1167.500533,Connecticut
506,Honolulu,2014-05-01,1783.739502,Hawaii
507,Houston,2014-05-01,1322.231626,Texas
508,Indianapolis,2014-05-01,1005.225304,Indiana
509,Jackson,2014-05-01,1134.526395,Mississippi
510,Jacksonville,2014-05-01,1097.917508,Florida
511,Jefferson County,2014-05-01,801.2727854,Kentucky
512,Kansas City,2014-05-01,962.8749893,Missouri
513,Knoxville,2014-05-01,1054.755987,Tennessee
514,Lakeland,2014-05-01,1057.23464,Florida
515,Las Vegas,2014-05-01,1052.599945,Nevada
516,Little Rock,2014-05-01,816.1806395,Arkansas
517,Long Beach,2014-05-01,1937.337483,California
518,Los Angeles,2014-05-01,1937.337483,California
519,Louisville,2014-05-01,801.2727854,Kentucky
520,Madison,2014-05-01,1141.745148,Wisconsin
521,Melbourne,2014-05-01,1018.067969,Florida
522,Memphis,2014-05-01,1054.631717,Tennessee
523,Miami,2014-05-01,1578.534288,Florida
524,Milwaukee,2014-05-01,1056.720313,Wisconsin
525,Minneapolis,2014-05-01,1242.95362,Minnesota
526,Nashville,2014-05-01,1222.70158,Tennessee
527,New Haven,2014-05-01,1220.705293,Connecticut
528,New Orleans,2014-05-01,1235.86922,Louisiana
529,New York,2014-05-01,2423.037678,New York
530,North Port,2014-05-01,1647.43398,Florida
531,Ogden,2014-05-01,930.0049412,Utah
532,Oklahoma City,2014-05-01,993.8604207,Oklahoma
533,Omaha,2014-05-01,985.6664603,Nebraska
534,Orlando,2014-05-01,1218.078762,Florida
535,Philadelphia,2014-05-01,1374.900824,Pennsylvania
536,Phoenix,2014-05-01,1026.84057,Arizona
537,Pittsburgh,2014-05-01,1039.129018,Pennsylvania
538,Port St. Lucie,2014-05-01,1189.471759,Florida
539,Portland,2014-05-01,1219.842046,Oregon
540,Providence,2014-05-01,1203.080703,Rhode Island
541,Provo,2014-05-01,1028.06478,Utah
542,Raleigh,2014-05-01,1241.688892,North Carolina
543,Richmond,2014-05-01,1087.392619,Virginia
544,Riverside,2014-05-01,1527.378084,California
